index,a_g,alpha_rad_s2,CP
0,0.0,0.0,0.0
1,1.0058,0.179,0.0001
2,1.0108,0.0234,0.0001
3,1.0167,0.0156,0.0001
4,1.0079,0.0532,0.0001
5,1.0095,0.0433,0.0001
6,1.0026,0.0495,0.0001
7,1.0081,0.0518,0.0001
8,1.014,0.0297,0.0001
9,1.0153,0.0295,0.0001
10,1.0199,0.0166,0.0001
11,1.0053,0.0262,0.0001
12,1.0047,0.0159,0.0001
13,1.0173,0.0235,0.0001
14,1.0036,0.0358,0.0001
15,1.0087,0.0235,0.0001
16,1.014,0.0155,0.0001
17,1.0063,0.0223,0.0001
18,1.008,0.0593,0.0001
19,1.0153,0.0515,0.0001
20,1.0143,0.0313,0.0001
21,1.0076,0.0235,0.0001
22,1.0144,0.0305,0.0001
23,1.0125,0.0319,0.0001
24,1.0098,0.0124,0.0001
25,1.0129,0.0444,0.0001
26,1.0128,0.0356,0.0001
27,1.0019,0.0271,0.0001
28,1.0138,0.0231,0.0001
29,1.0063,0.0231,0.0001
30,1.0197,0.0177,0.0001
31,1.0086,0.0348,0.0001
32,1.0114,0.0373,0.0001
33,1.0055,0.0234,0.0001
34,1.0145,0.0104,0.0001
35,1.0046,0.0179,0.0001
36,1.0154,0.0324,0.0001
37,1.0194,0.0091,0.0001
38,1.0061,0.0333,0.0001
39,1.0106,0.0257,0.0001
40,1.0114,0.0098,0.0001
41,1.0087,0.0182,0.0001
42,1.0107,0.0136,0.0001
43,1.007,0.0158,0.0001
44,1.0013,0.1469,0.0001
45,1.0066,0.0627,0.0001
46,1.0137,0.0444,0.0001
47,1.0016,0.0362,0.0001
48,1.0141,0.0312,0.0001
49,1.0134,0.0291,0.0001
50,1.0099,0.0301,0.0001
51,1.0194,0.0081,0.0001
52,1.016,0.0315,0.0001
53,1.008,0.0354,0.0001
54,1.0119,0.0454,0.0001
55,1.0113,0.0478,0.0001
56,1.0088,0.0314,0.0001
57,1.0119,0.0562,0.0001
58,1.0117,0.045,0.0001
59,1.0132,0.0282,0.0001
60,1.0038,0.0454,0.0001
61,1.012,0.0387,0.0001
62,1.0028,0.0232,0.0001
63,1.0043,0.0309,0.0001
64,1.0072,0.0262,0.0001
65,1.0058,0.0108,0.0001
66,1.0089,0.0309,0.0001
67,1.0132,0.0511,0.0001
68,1.0088,0.044,0.0001
69,1.0103,0.0268,0.0001
70,1.0037,0.0147,0.0001
71,1.0075,0.0252,0.0001
72,1.0061,0.0457,0.0001
73,1.0085,0.0671,0.0001
74,1.0127,0.0334,0.0001
75,1.0118,0.0354,0.0001
76,1.0124,0.0236,0.0001
77,1.0075,0.0162,0.0001
78,1.017,0.0185,0.0001
79,1.0095,0.029,0.0001
80,1.0078,0.0155,0.0001
81,1.012,0.0328,0.0001
82,1.0062,0.0263,0.0001
83,1.0065,0.0352,0.0001
84,1.0058,0.0224,0.0001
85,1.0125,0.0226,0.0001
86,1.0085,0.0332,0.0001
87,1.0035,0.0312,0.0001
88,1.0083,0.0283,0.0001
89,1.0082,0.026,0.0001
90,1.0083,0.0297,0.0001
91,1.0103,0.0336,0.0001
92,1.0129,0.0374,0.0001
93,1.0045,0.0464,0.0001
94,1.0169,0.0382,0.0001
95,1.0091,0.0221,0.0001
96,1.0145,0.0202,0.0001
97,1.0082,0.0114,0.0001
98,1.0084,0.0261,0.0001
99,1.0068,0.0296,0.0001
100,1.0142,0.0164,0.0001
101,1.0064,0.0292,0.0001
102,1.0112,0.0422,0.0001
103,1.0067,0.0145,0.0001
104,1.0115,0.0324,0.0001
105,1.0113,0.0178,0.0001
106,1.0089,0.0111,0.0001
107,1.0124,0.0276,0.0001
108,1.0111,0.0302,0.0001
109,1.0182,0.0291,0.0001
110,1.0113,0.0333,0.0001
111,1.0069,0.0131,0.0001
112,1.008,0.021,0.0001
113,1.0097,0.0091,0.0001
114,1.0085,0.031,0.0001
115,1.0199,0.0127,0.0001
116,1.0085,0.0224,0.0001
117,1.0069,0.0307,0.0001
118,1.0104,0.0407,0.0001
119,1.0131,0.0463,0.0001
120,1.0063,0.0285,0.0001
121,1.0096,0.0238,0.0001
122,1.0049,0.0224,0.0001
123,1.0079,0.0199,0.0001
124,1.0188,0.0161,0.0001
125,1.0147,0.0091,0.0001
126,1.0037,0.0208,0.0001
127,1.0039,0.0423,0.0001
128,1.0111,0.0439,0.0001
129,1.0113,0.0317,0.0001
130,1.0049,0.0323,0.0001
131,1.016,0.0278,0.0001
132,1.015,0.0313,0.0001
133,1.017,0.0157,0.0001
134,1.0092,0.0188,0.0001
135,1.0094,0.0217,0.0001
136,1.0134,0.006,0.0001
137,1.0083,0.0167,0.0001
138,1.0147,0.025,0.0001
139,1.0114,0.0252,0.0001
140,1.0047,0.0383,0.0001
141,1.0054,0.0324,0.0001
142,1.0077,0.035,0.0001
143,1.0062,0.0537,0.0001
144,1.0161,0.0405,0.0001
145,1.0085,0.052,0.0001
146,1.0044,0.036,0.0001
147,1.004,0.0307,0.0001
148,1.0067,0.0128,0.0001
149,1.0107,0.0158,0.0001
150,1.0172,0.0295,0.0001
151,1.011,0.0324,0.0001
152,1.0045,0.0228,0.0001
153,1.0098,0.0367,0.0001
154,1.0087,0.0074,0.0001
155,1.0024,0.0331,0.0001
156,1.0087,0.0158,0.0001
157,1.0115,0.0318,0.0001
158,1.0098,0.007,0.0001
159,1.0182,0.021,0.0001
160,1.0134,0.0279,0.0001
161,1.0119,0.0117,0.0001
162,1.0101,0.0161,0.0001
163,1.0117,0.015,0.0001
164,1.0147,0.0263,0.0001
165,1.0112,0.0332,0.0001
166,1.0149,0.0296,0.0001
167,1.0222,0.014,0.0001
168,1.0077,0.1191,0.0001
169,1.0117,0.0091,0.0001
170,1.0083,0.011,0.0001
171,1.0101,0.0061,0.0001
172,1.0025,0.007,0.0001
173,1.0101,0.0188,0.0001
174,1.007,0.0078,0.0001
175,1.0005,0.0203,0.0001
176,1.0116,0.0141,0.0001
177,1.008,0.0168,0.0001
178,1.0019,0.021,0.0001
179,1.0112,0.0806,0.0001
180,1.0095,0.0102,0.0001
181,1.008,0.0185,0.0001
182,1.0057,0.0218,0.0001
183,1.0057,0.1086,0.0001
184,1.0096,0.0395,0.0001
185,1.0084,0.0222,0.0001
186,1.0065,0.026,0.0001
187,1.0169,0.0251,0.0001
